id,catalogNumber,stateProvince,county,locality,verbatimCoordinates,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,metodo_correccion,confianza_coordenada,coherencia_provincia,criterio_coherencia,dist_fuera_provincia_km,dist_centroide_km,coordenada_compartida,provincia_minoritaria,signo_ambiguo,dms_rango_invalido
679641,3099,Tungurahua,,Río Pastaza,0.214115° -76.274799°,0.214115,-76.274799,0.214115,-76.274799,original,leida,discordante,poligono_gadm,257.44,279.8,TRUE,TRUE,FALSE,FALSE
679650,3106,Pastaza,,Río Zuñac-Tigre,-1.373911° -78.187222°,-1.373911,-78.187222,-1.373911,-78.187222,original,leida,discordante,poligono_gadm,5.05,87.8,FALSE,FALSE,FALSE,FALSE
679661,3116,Morona Santiago,Morona,Río Abanico (Hidroeléctrica),-1.436321° -78.165466°,-1.436321,-78.165466,-1.436321,-78.165466,original,leida,coherente,poligono_gadm,1.35,87.7,TRUE,TRUE,FALSE,FALSE
679850,3287,Sucumbíos,,Río Simanwe,-2.221706° -76.280000°,-2.221706,-76.28,-2.221706,-76.28,original,leida,discordante,poligono_gadm,187.65,242.3,FALSE,FALSE,FALSE,FALSE
679851,3288,Sucumbíos,,Lago Agrio La Balzareña Río Chanangue,-2.221706° -76.615298°,-2.221706,-76.615298,-2.221706,-76.615298,original,leida,discordante,poligono_gadm,190.92,245,FALSE,FALSE,FALSE,FALSE
679858,3294,Morona Santiago,Morona,Río Upano (9 de Octubre),0.202292° -78.246967°,0.202292,-78.246967,0.202292,-78.246967,original,leida,discordante,poligono_gadm,183.7,269.9,FALSE,FALSE,FALSE,FALSE
679859,3295,Morona Santiago,Morona,Río Upano (9 de Octubre),0.208747° -78.246967°,0.208747,-78.246967,0.208747,-78.246967,original,leida,discordante,poligono_gadm,184.42,270.7,FALSE,FALSE,FALSE,FALSE
679921,3350,Santo Domingo de los Tsáchilas,La Concordia,Río Blanco 1,-0.002019° -78.888828°,-0.002019,-78.888828,-0.002019,-78.888828,original,leida,discordante,poligono_gadm,11.65,41.5,FALSE,FALSE,FALSE,FALSE
680011,3431,El Oro,,Río Cochurco,-3.872997° -80.037728°,-3.872997,-80.037728,-3.872997,-80.037728,original,leida,coherente,poligono_gadm,0.05,38.5,TRUE,TRUE,FALSE,FALSE
680100,3511,El Oro,,Río Santa Rosa,0.382519° -78.299061°,0.382519,-78.299061,0.382519,-78.299061,original,leida,discordante,poligono_gadm,416.13,474,FALSE,FALSE,FALSE,FALSE
